#,category,english,type,flags,depictable,subject_phrase_EN,lithuanian_TARGET,lt_pron,gender,notes
278,Body,shoulder,N,,yes,"a person's shoulder, indicated by an arrow",petys,petýs,M,
279,Body,heart,N,,yes,a hand held over a chest with a simple schematic heart symbol beside it,širdis,širdís,F,
280,Body,blood,N,,yes,a first-aid scene — a finger with a drop of blood being bandaged,kraujas,kraújas,M,
281,Body,brain,N,,yes,"a standalone simplified schematic drawing of a brain, textbook-plate style",smegenys,smégenys,F pl,
282,Body,knee,N,,yes,"a bent knee, indicated on a walking figure",kelis,kélis,M,knee: dictionaries vary kẽlis/kelỹs — confirm preferred form
283,Body,sweat,N,,yes,"a worker wiping sweat from his brow, drops visible",prakaitas,prákaitas,M,
284,Body,disease,N,,abstract,,,,,
285,Body,bone,N,,yes,a single long bone shown as a clean schematic object,kaulas,kaúlas,M,
286,Body,voice,N,,abstract,,,,,
287,Body,skin,N,,yes,a forearm with a close-up of the skin surface,oda,óda,F,
288,Body,body,N,,yes,"a full human body standing, front view",kūnas,kū́nas,M,
289,Nature,sea,N,disambig,yes,a seaside scene with waves and the beach shore in view,jūra,jū́ra,F,
290,Nature,ocean,N,disambig,yes,"open ocean water to the horizon with a steamship, a small globe inset showing the oceans",vandenynas,vandenýnas,M,
291,Nature,river,N,,yes,a river winding through a valley,upė,úpė,F,
292,Nature,mountain,N,,yes,a single mountain peak,kalnas,kálnas,M,
293,Nature,rain,N,,yes,"rain falling on a street, a figure with an umbrella",lietus,lietús,M,
294,Nature,snow,N,,yes,"snow falling on a village, with snowdrifts",sniegas,sniégas,M,
295,Nature,tree,N,,yes,a single deciduous tree (an oak),medis,médis,M,
296,Nature,sun,N,,yes,the sun with rays above a field,saulė,saúlė,F,
297,Nature,moon,N,,yes,the crescent moon in a night sky,mėnulis,mėnúlis,M,
298,Nature,world,N,,abstract,,,,,
299,Nature,Earth,N,,yes,the planet Earth seen from space,Žemė,Žémė,,
300,Nature,forest,N,,yes,the edge of a pine forest,miškas,míškas,M,
301,Nature,sky,N,,yes,a wide sky with clouds above a low horizon,dangus,dangús,M,
302,Nature,plant,N,,yes,a potted plant with visible stem and leaves,augalas,aúgalas,M,
303,Nature,wind,N,,yes,"wind bending trees, with dashed wind-direction lines and a blowing scarf",vėjas,vė́jas,M,
304,Nature,soil,N,,yes,dark soil in a furrow with a spade,žemė (dirvožemis),žémė (dírvožemis),F,same word as 'ground'=žemė; disambiguate
305,Nature,flower,N,,yes,a single flower (a tulip),gėlė,gėlė́,F,
306,Nature,valley,N,,yes,a river valley between hills,slėnis,slė́nis,M,
307,Nature,root,N,,yes,a plant's roots exposed below the soil line,šaknis,šaknís,F,
308,Nature,lake,N,,yes,a calm lake with its shoreline,ežeras,éžeras,M,
309,Nature,star,N,,yes,"stars in a night sky, one bright star indicated",žvaigždė,žvaigždė́,F,
310,Nature,grass,N,,yes,a tuft of green grass,žolė,žolė́,F,
311,Nature,leaf,N,,yes,a single leaf (a birch leaf),lapas,lápas,M,
312,Nature,air,N,,abstract,,,,,
313,Nature,sand,N,,yes,"a handful of sand pouring, dunes behind",smėlis,smė́lis,M,
314,Nature,beach,N,,yes,a sandy beach with dune grass,paplūdimys,paplūdimýs,M,
315,Nature,wave,N,,yes,a breaking sea wave,banga,bangá,F,
316,Nature,fire,N,,yes,"a small contained fire with flames, a fire bucket beside it",ugnis,ugnís,F,
317,Nature,ice,N,,yes,a block of ice and icicles,ledas,lédas,M,
318,Nature,island,N,,yes,a small island in a lake,sala,salá,F,
319,Nature,hill,N,,yes,a low grassy hill,kalva,kalvá,F,
320,Nature,heat,N,,abstract,,,,,
321,Nature,nature,N,categoryC,category-multi,"a Lithuanian landscape combining forest, river and sky",gamta,gamtá,F,
322,Materials,glass,N,,yes,a pane of glass held by a glazier,stiklas,stíklas,M,SPLIT? stiklas (material) vs stiklinė (drinking glass)
323,Materials,metal,N,,yes,a metal ingot and a metal sheet,metalas,metálas,M,
324,Materials,plastic,N,,yes,a plastic sheet and a molded plastic bucket,plastikas,plástikas,M,
325,Materials,wood,N,,yes,sawn timber planks and a log,mediena,mediéna,F,mediena=timber/material; medis=tree; miškas=woods — disambiguate
326,Materials,stone,N,,yes,a granite fieldstone,akmuo,akmúo,M,
327,Materials,diamond,N,,yes,a cut diamond gem,deimantas,deímantas,M,
328,Materials,clay,N,,yes,a lump of clay being shaped on a potter's wheel,molis,mólis,M,
329,Materials,dust,N,,yes,dust swirling in a sunbeam above a shelf being wiped,dulkės,dúlkės,F pl,
330,Materials,gold,N,,yes,a gold bar and a gold ring,auksas,aúksas,M,
331,Materials,copper,N,,yes,a coil of copper wire and a copper pot,varis,váris,M,
332,Materials,silver,N,,yes,a silver spoon and a silver ingot,sidabras,sidábras,M,
333,Materials,material,N,categoryC,category-multi,"a sample board of materials — a wood block, a metal plate, a glass pane and a cloth swatch",medžiaga,medžiagá,F,
334,Math,meter,N,,abstract,,metras,métras,M,
335,Math,centimeter,N,,abstract,,centimetras,centimétras,M,
336,Math,kilogram,N,,abstract,,kilogramas,kilográmas,M,
337,Math,inch,N,,abstract,,colis,cólis,M,
338,Math,foot,N,,abstract,,pėda,pėdá,F,
339,Math,pound,N,,abstract,,svaras,sváras,M,
340,Math,half,N,,abstract,,,,,
341,Math,circle,N,,abstract,,apskritimas,apskritímas,M,
342,Math,square,N,,abstract,,kvadratas,kvadrátas,M,
343,Math,temperature,N,,abstract,,temperatūra,temperatūrá,F,
344,Math,date,N,,abstract,,,,,
345,Math,weight,N,,abstract,,,,,
346,Math,edge,N,,abstract,,kraštas,kráštas,M,
347,Math,corner,N,,abstract,,kampas,kámpas,M,
348,Misc,map,N,,yes,"a wall map with roads and rivers, bearing no lettering",žemėlapis,žemė́lapis,M,
349,Misc,dot,N,,yes,a single bold dot marked on plain paper,taškas,táškas,M,
350,Misc,consonant,N,,yes,one single large letter B shown as an object on a stand,priebalsis,priébalsis,,single-glyph exception approved (decision Q2)
351,Misc,vowel,N,,yes,one single large letter A shown as an object on a stand,balsis,bálsis,,single-glyph exception approved (decision Q2)
352,Misc,light,N,,abstract,,,,,
353,Misc,sound,N,,abstract,,,,,
354,Misc,yes,N,,abstract,,,,,
355,Misc,no,N,,abstract,,,,,
356,Misc,piece,N,,abstract,,,,,
357,Misc,pain,N,,abstract,,,,,
358,Misc,injury,N,,yes,a bandaged arm in a sling,sužalojimas,sužalójimas,M,
359,Misc,wound,N,,yes,a cut on a forearm being cleaned and bandaged,žaizda,žaizdá,F,added per request
360,Misc,hole,N,,yes,a round hole in a wooden board,skylė,skylė́,F,skylė=hole in an object; duobė=pit in ground (maybe separate card)
361,Misc,image,N,,yes,a framed picture hanging on a wall,vaizdas,vaízdas,M,vaizdas/paveikslas — fairly abstract
362,Misc,pattern,N,,abstract,,,,,
363,Verbs,work,V,,yes,a worker assembling parts at a workbench,dirbti,dírbti,,
364,Verbs,play (a game),V,,yes,two children playing with a ball,žaisti,žaísti,V,games/sport
365,Verbs,play (an instrument),V,,yes,a musician playing an accordion,groti,gróti,V,musical instrument
366,Verbs,walk,V,,yes,a worker walking forward in mid-stride,eiti,eíti,,
367,Verbs,run,V,,yes,a worker running at full stride,bėgti,bė́gti,,
368,Verbs,drive,V,,yes,a driver at the wheel of a truck,vairuoti,vairuóti,,
369,Verbs,fly,V,,yes,"a bird in level flight, wings mid-beat",skristi,skrísti,,
370,Verbs,swim,V,,yes,a swimmer mid-stroke in a pool lane,plaukti,plaúkti,,
371,Verbs,go,V,,yes,a worker setting off through a doorway into the street,eiti,eíti,,
372,Verbs,stop,V,,yes,a walking worker halted mid-step before a lowered barrier,sustoti,sustóti,,
373,Verbs,follow,V,,yes,"one worker walking close behind another, following",sekti,sékti,,
374,Verbs,think,V,,abstract,,,,,
375,Verbs,say,V,,yes,"a worker speaking to another, mouth open, simple sound lines",sakyti,sakýti,,depict via speech; kalbėti=speak
376,Verbs,eat,V,,yes,a worker eating with a spoon,valgyti,válgyti,,
377,Verbs,drink,V,,yes,a worker drinking from a glass,gerti,gérti,,
378,Verbs,kill,V,,yes,a fly being swatted with a rolled newspaper,žudyti,žudýti,,
379,Verbs,die,V,,yes,"a plain gravestone with no inscription, wilting flowers laid at its base",mirti,mírti,,"gravestone staging (decision Q5); routed as phrase-complete card, no motion insets"
380,Verbs,smile,V,,yes,"a woman smiling warmly, close portrait view",šypsotis,šypsótis,,
381,Verbs,laugh,V,,yes,two people laughing together at a canteen table,juoktis,juóktis,,
382,Verbs,cry,V,,yes,"a person crying, tears on the cheeks, a handkerchief in hand",verkti,vérkti,,
383,Verbs,buy,V,disambig,yes,a customer receiving wrapped goods across a shop counter,pirkti,pírkti,,
384,Verbs,pay,V,disambig,yes,a customer handing plain banknotes across a counter to a clerk,mokėti,mokė́ti,,
385,Verbs,sell,V,disambig,yes,a shopkeeper handing goods to a customer while receiving coins,parduoti,parduóti,,
386,Verbs,shoot,V,,yes,a marksman firing a rifle at a paper target on a range,šauti,šaúti,,
387,Verbs,learn,V,,abstract,,,,,
388,Verbs,jump,V,,yes,a worker jumping over a low obstacle,šokti,šókti,,
389,Verbs,smell,V,,yes,"a person sniffing a flower, scent lines rising to the nose",uostyti,uóstyti,,
390,Verbs,hear,V,disambig,yes,"a worker's head turning toward a distant ringing alarm bell, sound waves arriving",girdėti,girdė́ti,,hear a sound
391,Verbs,listen,V,disambig,yes,"a person seated attentively listening to a radio, ear inclined toward it",klausytis,klausýtis,,listen to music
392,Verbs,taste,V,,yes,a cook tasting soup from a ladle,ragauti,ragaúti,,
393,Verbs,touch,V,,yes,"a fingertip touching a smooth surface, the point of contact indicated",liesti,liésti,,
394,Verbs,see,V,,yes,"a worker seeing a distant water tower, a dotted sight line from eye to object",matyti,matýti,,
395,Verbs,watch,V,,yes,a person seated deliberately watching a television set,žiūrėti,žiūrė́ti,,
396,Verbs,kiss,V,,yes,a couple kissing on the cheek,bučiuoti,bučiuóti,,
397,Verbs,burn,V,,yes,a wooden plank burning with flame at a safe distance,degti,dégti,,
398,Verbs,melt,V,,yes,a block of ice melting into water,tirpti,tírpti,,
399,Verbs,dig,V,,yes,a worker digging a trench with a spade,kasti,kásti,,
400,Verbs,explode,V,,yes,"a small controlled demolition charge exploding at a distance, workers behind a barrier",sprogti,sprógti,,
401,Verbs,sit,V,,yes,a worker seated on a chair,sėdėti,sėdė́ti,,
402,Verbs,stand,V,,yes,a worker standing at ease,stovėti,stovė́ti,,
403,Verbs,love,V,,abstract,,,,,
404,Verbs,pass by,V,,yes,"a worker walking past a kiosk, a dashed path carrying on beyond it",praeiti,praeíti,,
405,Verbs,cut,V,,yes,a worker sawing a board on a sawhorse,pjauti,pjaúti,,
406,Verbs,fight,V,,yes,two boxers sparring in a ring,muštis,múštis,,muštis=brawl; kovoti=struggle/combat
407,Verbs,lie down,V,,yes,"a worker lying on a rest cot, awake with open eyes",gulėti,gulė́ti,,
408,Verbs,dance,V,,yes,"a couple dancing at a social evening, musical notes above",šokti,šókti,,
409,Verbs,sleep,V,,yes,a worker asleep on a cot,miegoti,miegóti,,
410,Verbs,wake up,V,,yes,"a worker sitting up in bed in the morning, sun through the window",pabusti,pabústi,,
411,Verbs,sing,V,,yes,"a small choir singing, mouths open, notes rising",dainuoti,dainuóti,,
412,Verbs,count,V,,yes,a clerk counting on an abacus at a stockroom desk,skaičiuoti,skaičiuóti,,
413,Verbs,marry,V,,yes,a couple exchanging rings before an official at a registry office,tuoktis,tuóktis,,"tuoktis (reflexive); vesti (man marries), tekėti (woman marries)"
414,Verbs,pray,V,,abstract,,,,,
415,Verbs,win,V,,abstract,,,,,
416,Verbs,lose,V,,abstract,,,,,
417,Verbs,mix,V,,yes,"a worker mixing mortar in a trough with a shovel, a circular motion arrow",maišyti,maišýti,,mix/stir
418,Verbs,bend,V,,yes,"a worker bending a metal rod in a vise, a curve arrow",lenkti,lénkti,,
419,Verbs,wash,V,,yes,a worker washing their hands,plauti,plaúti,,
420,Verbs,cook,V,,yes,a cook preparing food at a stove,gaminti,gamínti,,gaminti (make food); virti=to boil
421,Verbs,open,V,,yes,"a hand opening a door, an arc arrow showing the swing",atidaryti,atidarýti,,
422,Verbs,close,V,,yes,"a hand closing a door, a reverse arc arrow showing the swing",uždaryti,uždarýti,,
423,Verbs,write,V,,yes,a clerk writing with a pen on paper,rašyti,rašýti,,
424,Verbs,call,V,,yes,a worker dialing and speaking on a rotary telephone,skambinti,skambínti,,
425,Verbs,turn,V,,yes,"a worker turning a large pipe-valve wheel, a circular arrow",sukti,súkti,,sukti/pasukti — confirm sense
426,Verbs,build,V,,yes,a worker hammering a plank,statyti,statýti,,
427,Verbs,teach,V,,abstract,,mokyti,mókyti,,
428,Verbs,grow,V,,yes,"a plant growing in three stages from sprout to full height, an upward arrow",augti,aúgti,,
429,Verbs,draw,V,,yes,a hand drawing a simple picture with a pencil,piešti,piéšti,,
430,Verbs,feed,V,,yes,a worker scattering grain to chickens in a yard,maitinti,maitínti,,
431,Verbs,catch,V,,yes,a worker catching a tossed sack with both arms,gaudyti,gáudyti,,
432,Verbs,throw,V,,yes,"a worker throwing a sack onto a pile, an arc arrow",mesti,mésti,,
433,Verbs,clean,V,,yes,"a worker sweeping a corridor floor with a broom, one half already clean",valyti,valýti,,
434,Verbs,find,V,,yes,a worker finding lost keys beneath a workbench,rasti,rásti,,
435,Verbs,fall,V,,yes,"a crate tipping and falling from a warehouse shelf, a downward arrow",kristi,krísti,,
436,Verbs,push,V,,yes,a worker pushing a loaded handcart forward,stumti,stúmti,,
437,Verbs,pull,V,,yes,a worker pulling a rope-hauled cart toward himself,traukti,traúkti,,
438,Verbs,carry,V,,yes,a worker carrying a wooden crate with both arms,nešti,néšti,,
439,Verbs,break,V,,yes,a worker breaking a stick over his knee,laužyti,láužyti,,
440,Verbs,wear,V,,yes,"a worker wearing full protective work clothing, each item indicated",dėvėti,dėvė́ti,,
441,Verbs,hang,V,,yes,a worker hanging a framed picture on a wall hook,kabinti,kabínti,,
442,Verbs,shake,V,,yes,"a worker shaking an apple tree, apples falling, motion lines",purtyti,púrtyti,,stress: CHECK
443,Verbs,sign,V,,yes,"a hand signing a document with a pen, the signature a plain scribbled line",pasirašyti,pasirašýti,,verb 'to sign'; ženklas=a sign(noun)
444,Verbs,beat,V,,yes,"a person beating a hanging rug with a carpet beater, dust puffing out",mušti,múšti,,mušti — overlaps 'hit'; confirm vs FF sense
445,Verbs,lift,V,,yes,a worker lifting a crate from the ground,kelti,kélti,,
446,Adjectives,long,A,,yes,"two ropes laid side by side, one long and one short, a bold arrow marking the LONG one",ilgas/ilga,ílgas/ilgá,M/F,
447,Adjectives,short-long,A,,yes,"two ropes laid side by side, one long and one short, a bold arrow marking the SHORT one",trumpas/trumpa,trúmpas/trumpá,M/F,
448,Adjectives,tall,A,,yes,"a tall man and a short man side by side, a bold arrow marking the TALL man",aukštas/aukšta,aúkštas/aukštá,M/F,
449,Adjectives,short-tall,A,,yes,"a tall man and a short man side by side, a bold arrow marking the SHORT man",žemas/žema,žémas/žemá,M/F,
450,Adjectives,wide,A,,yes,"a wide doorway beside a narrow doorway, a bold arrow marking the WIDE one",platus/plati,platús/platí,M/F,
451,Adjectives,narrow,A,,yes,"a wide doorway beside a narrow doorway, a bold arrow marking the NARROW one",siauras/siaura,siaúras/siaurá,M/F,
452,Adjectives,big,A,,yes,"a big crate beside a small crate, a bold arrow marking the BIG one",didelis/didelė,dídelis/dídelė,M/F,
453,Adjectives,small,A,,yes,"a big crate beside a small crate, a bold arrow marking the SMALL one",mažas/maža,mážas/mažá,M/F,
454,Adjectives,slow,A,,yes,"a slow tractor and a fast motorcycle on a road with motion lines, a bold arrow marking the slow TRACTOR",lėtas/lėta,lė́tas/lėtá,M/F,stress: CHECK
455,Adjectives,fast,A,,yes,"a slow tractor and a fast motorcycle on a road with motion lines, a bold arrow marking the fast MOTORCYCLE",greitas/greita,greítas/greitá,M/F,
456,Adjectives,hot,A,,yes,"a steaming kettle beside a block of ice, a bold arrow marking the HOT kettle",karštas/karšta,kárštas/karštá,M/F,
457,Adjectives,cold,A,,yes,"a steaming kettle beside a block of ice, a bold arrow marking the COLD ice",šaltas/šalta,šáltas/šaltá,M/F,
458,Adjectives,warm,A,,yes,"a mug of warm tea with mild steam beside a cool glass of water with condensation, a bold arrow marking the WARM tea",šiltas/šilta,šíltas/šiltá,M/F,
459,Adjectives,cool,A,,yes,"a mug of warm tea with mild steam beside a cool glass of water with condensation, a bold arrow marking the COOL glass",vėsus/vėsi,vėsús/vėsí,M/F,
460,Adjectives,new,A,,yes,"a new pair of boots beside an old worn pair, a bold arrow marking the NEW pair",naujas/nauja,naújas/naujá,M/F,
461,Adjectives,old-new,A,,yes,"a new pair of boots beside an old worn pair, a bold arrow marking the OLD pair",senas/sena,sénas/sená,M/F,= senas (same word as old-young); tell apart by image: old object vs old person; antonym naujas
462,Adjectives,young,A,,yes,"a young man and an old man side by side, a bold arrow marking the YOUNG man",jaunas/jauna,jaúnas/jauná,M/F,
463,Adjectives,old-young,A,,yes,"a young man and an old man side by side, a bold arrow marking the OLD man",senas/sena,sénas/sená,M/F,= senas (same word as old-new); antonym jaunas
464,Adjectives,good,A,,abstract,,geras/gera,géras/gerá,M/F,
465,Adjectives,bad,A,,abstract,,blogas/bloga,blógas/blogá,M/F,
466,Adjectives,wet,A,,yes,"two shirts on a washing line, one dripping wet and one dry, a bold arrow marking the WET one",šlapias/šlapia,šlápias/šlapiá,M/F,
467,Adjectives,dry,A,,yes,"two shirts on a washing line, one dripping wet and one dry, a bold arrow marking the DRY one",sausas/sausa,saúsas/sausá,M/F,
468,Adjectives,sick,A,,yes,"a sick person in bed with a thermometer beside a healthy person exercising, a bold arrow marking the SICK one",sergantis/serganti,sérgantis/sérganti,M/F,
469,Adjectives,healthy,A,,yes,"a sick person in bed with a thermometer beside a healthy person exercising, a bold arrow marking the HEALTHY one",sveikas/sveika,sveíkas/sveiká,M/F,
470,Adjectives,loud,A,,yes,"a blaring loudspeaker with large sound waves beside a whispering person with tiny waves, a bold arrow marking the LOUD speaker",garsus/garsi,garsús/garsí,M/F,
471,Adjectives,quiet,A,,yes,"a blaring loudspeaker with large sound waves beside a whispering person with tiny waves, a bold arrow marking the QUIET whisperer",tylus/tyli,tylús/tylí,M/F,
472,Adjectives,happy,A,,yes,"a happy smiling face beside a sad downcast face, a bold arrow marking the HAPPY one",laimingas/laiminga,laimíngas/laimínga,M/F,
473,Adjectives,sad,A,,yes,"a happy smiling face beside a sad downcast face, a bold arrow marking the SAD one",liūdnas/liūdna,liū́dnas/liūdná,M/F,
474,Adjectives,beautiful,A,,yes,"a fresh blooming flower beside a wilted scraggly weed, a bold arrow marking the BLOOMING flower",gražus/graži,gražús/graží,M/F,
475,Adjectives,ugly,A,,yes,"a fresh blooming flower beside a wilted scraggly weed, a bold arrow marking the scraggly WEED",bjaurus/bjauri (negražus/negraži),bjaurús/bjaurí (negražús/negraží),M/F,
476,Adjectives,deaf,A,,yes,"sound waves from a ringing bell stopping short at a person's ear, marked with a small crossed circle",kurčias/kurčia,kúrčias/kurčiá,M/F,
477,Adjectives,blind,A,,yes,a person with a white cane and dark glasses at a street crossing,aklas/akla,áklas/aklá,M/F,
478,Adjectives,nice,A,,yes,a person kindly helping an elderly woman carry her bag,malonus/maloni,malonús/maloní,M/F,
479,Adjectives,mean,A,,abstract,,,,,
480,Adjectives,rich,A,,yes,"a richly dressed man with a fine coat and full purse beside a man in patched clothes, a bold arrow marking the RICH man",turtingas/turtinga,turtíngas/turtínga,M/F,
481,Adjectives,poor,A,,yes,"a richly dressed man with a fine coat and full purse beside a man in patched clothes, a bold arrow marking the POOR man",neturtingas/neturtinga (vargšas),neturtíngas/neturtínga (várgšas),M/F,colloq. biednas is nonstandard
482,Adjectives,thick,A,,yes,"a thick book beside a thin book, a bold arrow marking the THICK one",storas/stora,stóras/storá,M/F,
483,Adjectives,thin,A,,yes,"a thick book beside a thin book, a bold arrow marking the THIN one",plonas/plona,plónas/ploná,M/F,
484,Adjectives,expensive,A,,yes,"two shelf items with coin stacks beneath — a crystal vase over a tall stack, a plain cup over one coin — a bold arrow marking the EXPENSIVE vase",brangus/brangi,brangús/brangí,M/F,
485,Adjectives,cheap,A,,yes,"two shelf items with coin stacks beneath — a crystal vase over a tall stack, a plain cup over one coin — a bold arrow marking the CHEAP cup",pigus/pigi,pigús/pigí,M/F,
486,Adjectives,flat,A,,yes,"a flat straight board beside a curved bent board, a bold arrow marking the FLAT one",plokščias/plokščia,plókščias/plokščiá,M/F,
487,Adjectives,curved,A,,yes,"a flat straight board beside a curved bent board, a bold arrow marking the CURVED one",išlenktas/išlenkta,išlénktas/išlenktá,M/F,stress: CHECK
488,Adjectives,male,A,,yes,"a man and a woman standing side by side, a bold arrow marking the MAN",vyriškas/vyriška,výriškas/výriška,M/F,
489,Adjectives,female,A,,yes,"a man and a woman standing side by side, a bold arrow marking the WOMAN",moteriškas/moteriška,móteriškas/móteriška,M/F,
490,Adjectives,tight,A,,yes,"two pairs of boots on feet — one pinching tight with discomfort lines, one roomy — a bold arrow marking the TIGHT pair",ankštas/ankšta,ánkštas/ankštá,M/F,
491,Adjectives,loose,A,,yes,"two pairs of boots on feet — one pinching tight with discomfort lines, one roomy — a bold arrow marking the LOOSE pair",laisvas/laisva,laísvas/laisvá,M/F,
492,Adjectives,high,A,,yes,"two wall shelves, one high and one low, a worker reaching up, a bold arrow marking the HIGH shelf",aukštas/aukšta,aúkštas/aukštá,M/F,
493,Adjectives,low,A,,yes,"two wall shelves, one high and one low, a bold arrow marking the LOW shelf",žemas/žema,žémas/žemá,M/F,
494,Adjectives,soft,A,,yes,"a soft pillow with a hand pressing a deep dent beside a hard brick showing no dent, a bold arrow marking the SOFT pillow",minkštas/minkšta,mínkštas/minkštá,M/F,
495,Adjectives,hard,A,,yes,"a soft pillow with a hand pressing a deep dent beside a hard brick showing no dent, a bold arrow marking the HARD brick",kietas/kieta,kiétas/kietá,M/F,
496,Adjectives,deep,A,,yes,"a water cross-section showing a deep lake beside a shallow ford, depth lines, a bold arrow marking the DEEP water",gilus/gili,gilús/gilí,M/F,
497,Adjectives,shallow,A,,yes,"a water cross-section showing a deep lake beside a shallow ford, depth lines, a bold arrow marking the SHALLOW ford",seklus/sekli,seklús/seklí,M/F,
498,Adjectives,clean,A,,yes,"two plates, one sparkling clean and one dirty with stains, a bold arrow marking the CLEAN one",švarus/švari,švarús/švarí,M/F,
499,Adjectives,dirty,A,,yes,"two plates, one sparkling clean and one dirty with stains, a bold arrow marking the DIRTY one",purvinas/purvina,púrvinas/púrvina,M/F,
500,Adjectives,strong,A,,yes,"a strong man lifting a heavy barbell beside a weak man struggling with a small dumbbell, a bold arrow marking the STRONG man",stiprus/stipri,stiprús/stiprí,M/F,
501,Adjectives,weak,A,,yes,"a strong man lifting a heavy barbell beside a weak man struggling with a small dumbbell, a bold arrow marking the WEAK man",silpnas/silpna,sílpnas/silpná,M/F,
502,Adjectives,dead,A,,yes,"a dead withered potted plant beside a living green one, a bold arrow marking the DEAD plant",negyvas/negyva,negývas/negyvá,M/F,
503,Adjectives,alive,A,,yes,"a dead withered potted plant beside a living green one, a bold arrow marking the LIVING plant",gyvas/gyva,gývas/gyvá,M/F,
504,Adjectives,heavy,A,,yes,"a worker bent under a heavy sack beside one strolling with a light parcel, a bold arrow marking the HEAVY sack",sunkus/sunki,sunkús/sunkí,M/F,
505,Adjectives,light-heavy,A,,yes,"a worker bent under a heavy sack beside one strolling with a light parcel, a bold arrow marking the LIGHT parcel",lengvas/lengva,léngvas/lengvá,M/F,
506,Adjectives,dark,A,,yes,"a split scene of a dark unlit room and a bright lamp-lit room, a bold arrow marking the DARK half",tamsus/tamsi,tamsús/tamsí,M/F,
507,Adjectives,light-dark,A,,yes,"a split scene of a dark unlit room and a bright lamp-lit room, a bold arrow marking the BRIGHT half",šviesus/šviesi,šviesús/šviesí,M/F,
508,Adjectives,nuclear,A,,abstract,,,,,
509,Adjectives,famous,A,,abstract,,,,,
510,Pronouns,I,P,,abstract,,,,,
511,Pronouns,you sg,P,,abstract,,,,,
512,Pronouns,he,P,,abstract,,,,,
513,Pronouns,she,P,,abstract,,,,,
514,Pronouns,it,P,,abstract,,,,,
515,Pronouns,we,P,,abstract,,,,,
516,Pronouns,you pl,P,,abstract,,,,,
517,Pronouns,they,P,,abstract,,,,,
518,Adjectives,red,A,,superseded,"a group of plain red objects — an apple, a fire bucket, a ribbon",raudonas/raudona,raudónas/raudóna,M/F,"superseded by Color row 69 (decision Q1, files 1.6.1)"
519,Adjectives,green,A,,superseded,"a group of plain green objects — a leaf, a cucumber, a glass bottle",žalias/žalia,žálias/žaliá,M/F,"superseded by Color row 70 (decision Q1, files 1.6.1)"
520,Adjectives,blue,A,,superseded,"a group of plain blue objects — an enamel mug, work coveralls, a cornflower",mėlynas/mėlyna,mė́lynas/mė́lyna,M/F,"superseded by Color row 71 (decision Q1, files 1.6.1)"
521,Adjectives,yellow,A,,superseded,"a group of plain yellow objects — a lemon, amber beads, ripe wheat",geltonas/geltona,geltónas/geltóna,M/F,"superseded by Color row 72 (decision Q1, files 1.6.1)"
522,Adjectives,brown,A,,superseded,"a group of plain brown objects — a loaf of bread, a leather boot, a chestnut",rudas/ruda,rúdas/rudá,M/F,"superseded by Color row 73 (decision Q1, files 1.6.1)"
523,Adjectives,pink,A,,superseded,"a group of plain pink objects — a piglet, a rose, a scarf",rožinis/rožinė,róžinis/róžinė,M/F,"superseded by Color row 74 (decision Q1, files 1.6.1)"
524,Adjectives,orange,A,,superseded,"a group of plain orange objects — an orange, a carrot, a fox",oranžinis/oranžinė,oránžinis/oránžinė,M/F,"superseded by Color row 75 (decision Q1, files 1.6.1)"
525,Adjectives,black,A,,superseded,"a group of plain black objects — a lump of coal, rubber work boots, a black cat",juodas/juoda,juódas/juodá,M/F,"superseded by Color row 76 (decision Q1, files 1.6.1)"
526,Adjectives,white,A,,superseded,"a group of plain white objects — a goose, a stick of chalk, an enamel basin",baltas/balta,báltas/baltá,M/F,"superseded by Color row 77 (decision Q1, files 1.6.1)"
527,Adjectives,gray,A,,superseded,"a group of plain gray objects — a mouse, a woolen sock, an overcast cloud",pilkas/pilka,pílkas/pilká,M/F,"superseded by Color row 78 (decision Q1, files 1.6.1)"
